playId,playEvent.playEventId,playEvent.name,playEvent.playDetail.playDetailId,playEvent.playDetail.name,playText
1,,,,,Starting Lineup
1,,,,,Starting Lineup
1,,,,,Starting Lineup
1,,,,,Starting Lineup
1,,,,,Starting Lineup
1,,,,,Starting Lineup
1,,,,,Starting Lineup
1,,,,,Starting Lineup
1,,,,,Starting Lineup
1,,,,,Starting Lineup
2,14,Start Period,,,Start of the 1st Half
10,8,Foul,4,Offensive,Offensive foul committed by Desi Rodriguez.
11,7,Turnover,,,Desi Rodriguez with a turnover - 
13,4,Field Goal Missed,45,Jump Shot,Luke Fischer misses a jump shot from 5 feet out.
14,6,Defensive Rebound,,,Angel Delgado with a defensive rebound.
15,4,Field Goal Missed,45,Jump Shot,Angel Delgado misses a jump shot from 16 feet out.
16,6,Defensive Rebound,,,Henry Ellenson with a defensive rebound.
24,7,Turnover,6,Double Dribble,Haanif Cheatham with a turnover - Double Dribble
31,8,Foul,1,Personal,Personal foul committed by Traci Carter.
37,4,Field Goal Missed,45,Jump Shot,Khadeen Carrington misses a jump shot from 16 feet out.
38,5,Offensive Rebound,,,Isaiah Whitehead with an offensive rebound.
39,4,Field Goal Missed,45,Jump Shot,Isaiah Whitehead misses a jump shot from 6 feet out.
40,6,Defensive Rebound,,,Henry Ellenson with a defensive rebound.
44,8,Foul,1,Personal,Personal foul committed by Sandy Cohen III.
44,4,Field Goal Missed,40,Layup Shot,Sandy Cohen III misses a layup.
44,6,Defensive Rebound,,,Khadeen Carrington with a defensive rebound.
51,3,Field Goal Made,45,Jump Shot,Isaiah Whitehead makes a 3-point jump shot from 23 feet out.
54,4,Field Goal Missed,45,Jump Shot,Henry Ellenson misses a jump shot from 7 feet out.
55,6,Defensive Rebound,,,Khadeen Carrington with a defensive rebound.
57,3,Field Goal Made,40,Layup Shot,Desi Rodriguez makes a layup. Isaiah Whitehead with the assist.
58,3,Field Goal Made,40,Layup Shot,Haanif Cheatham makes a layup. Henry Ellenson with the assist.
59,3,Field Goal Made,45,Jump Shot,Isaiah Whitehead makes a jump shot from 18 feet out. Desi Rodriguez with the assist.
61,3,Field Goal Made,45,Jump Shot,Luke Fischer makes a jump shot from 9 feet out.
62,4,Field Goal Missed,40,Layup Shot,Desi Rodriguez misses a layup.
63,5,Offensive Rebound,,,Angel Delgado with an offensive rebound.
64,4,Field Goal Missed,40,Layup Shot,Angel Delgado misses a layup.
65,6,Defensive Rebound,,,Henry Ellenson with a defensive rebound.
66,3,Field Goal Made,40,Layup Shot,Luke Fischer makes a layup. Traci Carter with the assist.
67,3,Field Goal Made,40,Layup Shot,Khadeen Carrington makes a layup.
68,3,Field Goal Made,40,Layup Shot,Khadeen Carrington makes a layup.
68,7,Turnover,2,Lost Ball,Khadeen Carrington steals the ball from Traci Carter.
71,4,Field Goal Missed,45,Jump Shot,Henry Ellenson misses a jump shot from 17 feet out.
72,6,Defensive Rebound,,,Angel Delgado with a defensive rebound.
75,4,Field Goal Missed,40,Layup Shot,Desi Rodriguez misses a layup.
76,5,Offensive Rebound,,,Desi Rodriguez with an offensive rebound.
77,8,Foul,2,Shooting,Shooting foul committed by Luke Fischer.
77,11,Timeout,3,Official TV,Official TV timeout.
89,1,Free Throw Made,11,Free Throw 1 of 2,Desi Rodriguez makes free throw 1 of 2.
90,2,Free Throw Missed,12,Free Throw 2 of 2,Desi Rodriguez misses free throw 2 of 2.
91,6,Defensive Rebound,,,Luke Fischer with a defensive rebound.
93,4,Field Goal Missed,45,Jump Shot,Haanif Cheatham misses a jump shot from 2 feet out.
94,6,Defensive Rebound,,,Isaiah Whitehead with a defensive rebound.
95,3,Field Goal Made,40,Layup Shot,Derrick Gordon makes a layup. Isaiah Whitehead with the assist.
109,7,Turnover,1,Bad Pass,JaJuan Johnson with a turnover - Bad Pass
120,4,Field Goal Missed,40,Layup Shot,Desi Rodriguez misses a layup.
121,5,Offensive Rebound,,,Desi Rodriguez with an offensive rebound.
122,3,Field Goal Made,40,Layup Shot,Desi Rodriguez makes a layup.
123,8,Foul,2,Shooting,Shooting foul committed by Haanif Cheatham.
124,1,Free Throw Made,10,Free Throw 1 of 1,Desi Rodriguez makes free throw 1 of 1.
135,4,Field Goal Missed,45,Jump Shot,Henry Ellenson misses a 3-point jump shot from 23 feet out.
136,6,Defensive Rebound,,,Khadeen Carrington with a defensive rebound.
137,4,Field Goal Missed,45,Jump Shot,Derrick Gordon misses a jump shot from 6 feet out.
138,5,Offensive Rebound,,,Derrick Gordon with an offensive rebound.
139,4,Field Goal Missed,45,Jump Shot,Khadeen Carrington misses a jump shot from 6 feet out.
140,6,Defensive Rebound,,,Traci Carter with a defensive rebound.
144,8,Foul,2,Shooting,Shooting foul committed by Veer Singh.
145,1,Free Throw Made,11,Free Throw 1 of 2,Duane Wilson makes free throw 1 of 2.
146,1,Free Throw Made,12,Free Throw 2 of 2,Duane Wilson makes free throw 2 of 2.
154,4,Field Goal Missed,45,Jump Shot,Veer Singh misses a 3-point jump shot from 23 feet out.
155,5,Offensive Rebound,,,Ismael Sanogo with an offensive rebound.
166,8,Foul,1,Personal,Personal foul committed by Traci Carter.
170,7,Turnover,2,Lost Ball,Duane Wilson steals the ball from Veer Singh.
175,3,Field Goal Made,40,Layup Shot,Duane Wilson makes a layup.
186,3,Field Goal Made,45,Jump Shot,Desi Rodriguez makes a jump shot from 7 feet out. Isaiah Whitehead with the assist.
189,4,Field Goal Missed,40,Layup Shot,Ismael Sanogo blocks a JaJuan Johnson layup.
190,5,Offensive Rebound,,,Golden Eagles with an offensive rebound.
195,4,Field Goal Missed,45,Jump Shot,Duane Wilson misses a 3-point jump shot from 22 feet out.
196,6,Defensive Rebound,,,Ismael Sanogo with a defensive rebound.
197,7,Turnover,2,Lost Ball,Haanif Cheatham steals the ball from Ismael Sanogo.
198,3,Field Goal Made,40,Layup Shot,Haanif Cheatham makes a layup.
202,3,Field Goal Made,45,Jump Shot,Isaiah Whitehead makes a 3-point jump shot from 23 feet out. Khadeen Carrington with the assist.
206,8,Foul,1,Personal,Personal foul committed by Isaiah Whitehead.
214,3,Field Goal Made,40,Layup Shot,Henry Ellenson makes a layup. Luke Fischer with the assist.
216,7,Turnover,2,Lost Ball,Angel Delgado with a turnover - Lost Ball
217,11,Timeout,3,Official TV,Official TV timeout.
221,4,Field Goal Missed,40,Layup Shot,Henry Ellenson misses a layup.
222,5,Offensive Rebound,,,Henry Ellenson with an offensive rebound.
223,3,Field Goal Made,40,Layup Shot,Luke Fischer makes a layup.
223,5,Offensive Rebound,,,Luke Fischer with an offensive rebound.
223,4,Field Goal Missed,53,Tip Shot,Henry Ellenson misses a tip shot from 2 feet out.
223,4,Field Goal Missed,53,Tip Shot,Henry Ellenson misses a tip shot from 1 foot out.
223,5,Offensive Rebound,,,Henry Ellenson with an offensive rebound.
233,7,Turnover,3,Out of Bounds,Khadeen Carrington with a turnover - Out of Bounds
245,8,Foul,4,Offensive,Offensive foul committed by Henry Ellenson.
246,7,Turnover,,,Henry Ellenson with a turnover - 
253,7,Turnover,3,Out of Bounds,Khadeen Carrington with a turnover - Out of Bounds
257,4,Field Goal Missed,45,Jump Shot,Duane Wilson misses a jump shot from 14 feet out.
258,6,Defensive Rebound,,,Angel Delgado with a defensive rebound.
261,8,Foul,2,Shooting,Shooting foul committed by Sandy Cohen III.
262,1,Free Throw Made,8,Free Throw 1st of 1-and-1,Desi Rodriguez makes free throw 1st of 1-and-1.
264,1,Free Throw Made,9,Free Throw 2nd of 1-and-1,Desi Rodriguez makes free throw 2nd of 1-and-1.
266,3,Field Goal Made,40,Layup Shot,Haanif Cheatham makes a layup. JaJuan Johnson with the assist.
267,4,Field Goal Missed,45,Jump Shot,Angel Delgado misses a jump shot from 4 feet out.
268,6,Defensive Rebound,,,Henry Ellenson with a defensive rebound.
269,3,Field Goal Made,40,Layup Shot,JaJuan Johnson makes a layup.
270,3,Field Goal Made,45,Jump Shot,Desi Rodriguez makes a jump shot from 17 feet out. Ismael Sanogo with the assist.
272,7,Turnover,2,Lost Ball,Ismael Sanogo steals the ball from Luke Fischer.
274,4,Field Goal Missed,45,Jump Shot,Khadeen Carrington misses a jump shot from 19 feet out.
275,6,Defensive Rebound,,,Henry Ellenson with a defensive rebound.
283,8,Foul,4,Offensive,Offensive foul committed by JaJuan Johnson.
284,7,Turnover,,,JaJuan Johnson with a turnover - 
298,4,Field Goal Missed,40,Layup Shot,Ismael Sanogo misses a layup.
299,6,Defensive Rebound,,,Henry Ellenson with a defensive rebound.
303,8,Foul,1,Personal,Personal foul committed by Ismael Sanogo.
308,8,Foul,1,Personal,Personal foul committed by Braeden Anderson.
310,3,Field Goal Made,48,Dunk Shot,Luke Fischer dunks. Henry Ellenson with the assist.
311,7,Turnover,2,Lost Ball,Haanif Cheatham steals the ball from Isaiah Whitehead.
316,3,Field Goal Made,40,Layup Shot,Duane Wilson makes a layup. Haanif Cheatham with the assist.
317,8,Foul,2,Shooting,Shooting foul committed by Derrick Gordon.
317,11,Timeout,3,Official TV,Official TV timeout.
320,1,Free Throw Made,10,Free Throw 1 of 1,Duane Wilson makes free throw 1 of 1.
339,4,Field Goal Missed,45,Jump Shot,Isaiah Whitehead misses a 3-point jump shot from 24 feet out.
340,5,Offensive Rebound,,,Veer Singh with an offensive rebound.
342,8,Foul,2,Shooting,Shooting foul committed by Haanif Cheatham.
343,1,Free Throw Made,11,Free Throw 1 of 2,Isaiah Whitehead makes free throw 1 of 2.
344,1,Free Throw Made,12,Free Throw 2 of 2,Isaiah Whitehead makes free throw 2 of 2.
346,4,Field Goal Missed,45,Jump Shot,Duane Wilson misses a 3-point jump shot from 24 feet out.
347,6,Defensive Rebound,,,Khadeen Carrington with a defensive rebound.
348,7,Turnover,2,Lost Ball,Henry Ellenson steals the ball from Veer Singh.
349,3,Field Goal Made,40,Layup Shot,Haanif Cheatham makes a layup. Duane Wilson with the assist.
355,8,Foul,1,Personal,Personal foul committed by Luke Fischer.
357,1,Free Throw Made,11,Free Throw 1 of 2,Angel Delgado makes free throw 1 of 2.
358,1,Free Throw Made,12,Free Throw 2 of 2,Angel Delgado makes free throw 2 of 2.
362,8,Foul,2,Shooting,Shooting foul committed by Michael Nzei.
364,1,Free Throw Made,8,Free Throw 1st of 1-and-1,Henry Ellenson makes free throw 1st of 1-and-1.
365,2,Free Throw Missed,9,Free Throw 2nd of 1-and-1,Henry Ellenson misses free throw 2nd of 1-and-1.
366,6,Defensive Rebound,,,Khadeen Carrington with a defensive rebound.
368,4,Field Goal Missed,40,Layup Shot,Khadeen Carrington misses a layup.
369,6,Defensive Rebound,,,Duane Wilson with a defensive rebound.
370,7,Turnover,2,Lost Ball,Khadeen Carrington steals the ball from Duane Wilson.
371,3,Field Goal Made,40,Layup Shot,Khadeen Carrington makes a layup.
373,8,Foul,2,Shooting,Shooting foul committed by Michael Nzei.
375,1,Free Throw Made,11,Free Throw 1 of 2,Henry Ellenson makes free throw 1 of 2.
376,1,Free Throw Made,12,Free Throw 2 of 2,Henry Ellenson makes free throw 2 of 2.
379,7,Turnover,2,Lost Ball,Desi Rodriguez with a turnover - Lost Ball
390,3,Field Goal Made,40,Layup Shot,Haanif Cheatham makes a layup.
393,4,Field Goal Missed,40,Layup Shot,Angel Delgado misses a layup.
394,5,Offensive Rebound,,,Ismael Sanogo with an offensive rebound.
396,3,Field Goal Made,53,Tip Shot,Ismael Sanogo makes a tip shot from 2 feet out.
400,7,Turnover,2,Lost Ball,Desi Rodriguez steals the ball from Duane Wilson.
401,8,Foul,2,Shooting,Shooting foul committed by Wally Ellenson.
402,1,Free Throw Made,11,Free Throw 1 of 2,Desi Rodriguez makes free throw 1 of 2.
403,1,Free Throw Made,12,Free Throw 2 of 2,Desi Rodriguez makes free throw 2 of 2.
405,4,Field Goal Missed,45,Jump Shot,JaJuan Johnson misses a 3-point jump shot from 24 feet out.
406,6,Defensive Rebound,,,Ismael Sanogo with a defensive rebound.
410,7,Turnover,4,Traveling,Khadeen Carrington with a turnover - Traveling
412,4,Field Goal Missed,45,Jump Shot,Henry Ellenson misses a jump shot from 12 feet out.
413,6,Defensive Rebound,,,Ismael Sanogo with a defensive rebound.
414,4,Field Goal Missed,45,Jump Shot,Desi Rodriguez misses a 3-point jump shot from 24 feet out.
415,6,Defensive Rebound,,,Henry Ellenson with a defensive rebound.
434,8,Foul,2,Shooting,Shooting foul committed by Desi Rodriguez.
434,11,Timeout,3,Official TV,Official TV timeout.
442,2,Free Throw Missed,11,Free Throw 1 of 2,JaJuan Johnson misses free throw 1 of 2.
443,5,Offensive Rebound,,,Golden Eagles with an offensive rebound.
444,1,Free Throw Made,12,Free Throw 2 of 2,JaJuan Johnson makes free throw 2 of 2.
446,3,Field Goal Made,45,Jump Shot,Angel Delgado makes a jump shot from 5 feet out.
449,8,Foul,4,Offensive,Offensive foul committed by JaJuan Johnson.
450,7,Turnover,,,JaJuan Johnson with a turnover - 
458,7,Turnover,2,Lost Ball,Henry Ellenson steals the ball from Ismael Sanogo.
459,3,Field Goal Made,40,Layup Shot,Haanif Cheatham makes a layup. Henry Ellenson with the assist.
461,4,Field Goal Missed,45,Jump Shot,Henry Ellenson blocks a Angel Delgado jump shot from 5 feet out.
462,5,Offensive Rebound,,,Derrick Gordon with an offensive rebound.
463,8,Foul,4,Offensive,Offensive foul committed by Derrick Gordon.
464,7,Turnover,,,Derrick Gordon with a turnover - 
482,3,Field Goal Made,45,Jump Shot,Haanif Cheatham makes a jump shot from 12 feet out.
491,4,Field Goal Missed,45,Jump Shot,Desi Rodriguez misses a jump shot from 9 feet out.
492,5,Offensive Rebound,,,Angel Delgado with an offensive rebound.
493,4,Field Goal Missed,53,Tip Shot,Angel Delgado misses a tip shot from 1 foot out.
494,6,Defensive Rebound,,,Wally Ellenson with a defensive rebound.
496,4,Field Goal Missed,45,Jump Shot,Henry Ellenson misses a 3-point jump shot from 23 feet out.
497,5,Offensive Rebound,,,Wally Ellenson with an offensive rebound.
498,3,Field Goal Made,53,Tip Shot,Wally Ellenson makes a tip shot from 1 foot out.
503,11,Timeout,1,Regular,Pirates take a full timeout.
513,4,Field Goal Missed,55,Hook Shot,Isaiah Whitehead misses a hook shot from 2 feet out.
