playId,playEvent.playEventId,playEvent.name,playEvent.playDetail.playDetailId,playEvent.playDetail.name,playText
514,6,Defensive Rebound,,,Henry Ellenson with a defensive rebound.
519,8,Foul,2,Shooting,Shooting foul committed by Desi Rodriguez.
520,2,Free Throw Missed,11,Free Throw 1 of 2,Haanif Cheatham misses free throw 1 of 2.
521,5,Offensive Rebound,,,Golden Eagles with an offensive rebound.
522,1,Free Throw Made,12,Free Throw 2 of 2,Haanif Cheatham makes free throw 2 of 2.
524,8,Foul,2,Shooting,Shooting foul committed by Sacar Anim.
525,2,Free Throw Missed,11,Free Throw 1 of 2,Isaiah Whitehead misses free throw 1 of 2.
526,5,Offensive Rebound,,,Pirates with an offensive rebound.
527,1,Free Throw Made,12,Free Throw 2 of 2,Isaiah Whitehead makes free throw 2 of 2.
533,4,Field Goal Missed,45,Jump Shot,Wally Ellenson misses a 3-point jump shot from 23 feet out.
534,6,Defensive Rebound,,,Khadeen Carrington with a defensive rebound.
538,15,End Period,,,End of the 1st Half
556,14,Start Period,,,Start of the 2nd Half
558,4,Field Goal Missed,40,Layup Shot,Henry Ellenson misses a layup.
559,6,Defensive Rebound,,,Isaiah Whitehead with a defensive rebound.
560,3,Field Goal Made,45,Jump Shot,Ismael Sanogo makes a jump shot from 4 feet out.
571,7,Turnover,4,Traveling,Luke Fischer with a turnover - Traveling
575,4,Field Goal Missed,45,Jump Shot,Isaiah Whitehead misses a jump shot from 15 feet out.
576,6,Defensive Rebound,,,Duane Wilson with a defensive rebound.
577,4,Field Goal Missed,45,Jump Shot,Duane Wilson misses a jump shot from 10 feet out.
578,5,Offensive Rebound,,,Luke Fischer with an offensive rebound.
579,3,Field Goal Made,48,Dunk Shot,Luke Fischer dunks.
580,3,Field Goal Made,45,Jump Shot,Veer Singh makes a 3-point jump shot from 24 feet out. Isaiah Whitehead with the assist.
581,4,Field Goal Missed,55,Hook Shot,Luke Fischer misses a hook shot from 3 feet out.
582,6,Defensive Rebound,,,Angel Delgado with a defensive rebound.
583,7,Turnover,2,Lost Ball,Sandy Cohen III steals the ball from Isaiah Whitehead.
584,3,Field Goal Made,45,Jump Shot,Duane Wilson makes a jump shot from 17 feet out.
585,4,Field Goal Missed,40,Layup Shot,Angel Delgado misses a layup.
586,5,Offensive Rebound,,,Ismael Sanogo with an offensive rebound.
588,4,Field Goal Missed,40,Layup Shot,Henry Ellenson blocks a Ismael Sanogo layup.
589,6,Defensive Rebound,,,Luke Fischer with a defensive rebound.
590,8,Foul,1,Personal,Personal foul committed by Khadeen Carrington.
600,4,Field Goal Missed,40,Layup Shot,Haanif Cheatham misses a layup.
601,6,Defensive Rebound,,,Angel Delgado with a defensive rebound.
604,4,Field Goal Missed,45,Jump Shot,Isaiah Whitehead misses a 3-point jump shot from 23 feet out.
605,6,Defensive Rebound,,,Henry Ellenson with a defensive rebound.
606,8,Foul,1,Personal,Personal foul committed by Veer Singh.
614,4,Field Goal Missed,40,Layup Shot,Duane Wilson misses a layup.
615,6,Defensive Rebound,,,Ismael Sanogo with a defensive rebound.
616,4,Field Goal Missed,45,Jump Shot,Veer Singh misses a jump shot from 15 feet out.
617,5,Offensive Rebound,,,Ismael Sanogo with an offensive rebound.
618,3,Field Goal Made,45,Jump Shot,Khadeen Carrington makes a 3-point jump shot from 24 feet out. Ismael Sanogo with the assist.
619,4,Field Goal Missed,45,Jump Shot,Duane Wilson misses a 3-point jump shot from 24 feet out.
620,6,Defensive Rebound,,,Veer Singh with a defensive rebound.
623,8,Foul,2,Shooting,Shooting foul committed by Haanif Cheatham.
623,11,Timeout,3,Official TV,Official TV timeout.
626,1,Free Throw Made,11,Free Throw 1 of 2,Isaiah Whitehead makes free throw 1 of 2.
627,2,Free Throw Missed,12,Free Throw 2 of 2,Isaiah Whitehead misses free throw 2 of 2.
628,6,Defensive Rebound,,,Henry Ellenson with a defensive rebound.
633,4,Field Goal Missed,45,Jump Shot,JaJuan Johnson misses a jump shot from 9 feet out.
634,5,Offensive Rebound,,,JaJuan Johnson with an offensive rebound.
635,3,Field Goal Made,40,Layup Shot,JaJuan Johnson makes a layup.
636,4,Field Goal Missed,45,Jump Shot,Isaiah Whitehead misses a 3-point jump shot from 24 feet out.
637,6,Defensive Rebound,,,Henry Ellenson with a defensive rebound.
641,8,Foul,1,Personal,Personal foul committed by Veer Singh.
650,4,Field Goal Missed,45,Jump Shot,Traci Carter misses a jump shot from 17 feet out.
651,6,Defensive Rebound,,,Derrick Gordon with a defensive rebound.
660,4,Field Goal Missed,40,Layup Shot,Desi Rodriguez misses a layup.
661,5,Offensive Rebound,,,Desi Rodriguez with an offensive rebound.
662,4,Field Goal Missed,53,Tip Shot,Desi Rodriguez misses a tip shot from 1 foot out.
663,5,Offensive Rebound,,,Desi Rodriguez with an offensive rebound.
664,3,Field Goal Made,53,Tip Shot,Desi Rodriguez makes a tip shot from 1 foot out.
665,8,Foul,2,Shooting,Shooting foul committed by Henry Ellenson.
666,1,Free Throw Made,10,Free Throw 1 of 1,Desi Rodriguez makes free throw 1 of 1.
686,4,Field Goal Missed,45,Jump Shot,JaJuan Johnson misses a jump shot from 15 feet out.
687,6,Defensive Rebound,,,Khadeen Carrington with a defensive rebound.
692,7,Turnover,1,Bad Pass,Khadeen Carrington with a turnover - Bad Pass
696,4,Field Goal Missed,55,Hook Shot,Luke Fischer misses a hook shot from 4 feet out.
697,6,Defensive Rebound,,,Angel Delgado with a defensive rebound.
701,8,Foul,2,Shooting,Shooting foul committed by Duane Wilson.
702,1,Free Throw Made,11,Free Throw 1 of 2,Desi Rodriguez makes free throw 1 of 2.
703,1,Free Throw Made,12,Free Throw 2 of 2,Desi Rodriguez makes free throw 2 of 2.
705,3,Field Goal Made,40,Layup Shot,Henry Ellenson makes a layup.
706,3,Field Goal Made,40,Layup Shot,Ismael Sanogo makes a layup. Isaiah Whitehead with the assist.
707,4,Field Goal Missed,40,Layup Shot,Sandy Cohen III misses a layup.
708,6,Defensive Rebound,,,Isaiah Whitehead with a defensive rebound.
721,7,Turnover,2,Lost Ball,Sandy Cohen III steals the ball from Isaiah Whitehead.
725,8,Foul,4,Offensive,Offensive foul committed by Sandy Cohen III.
726,7,Turnover,5,Offensive Foul-Charge,Sandy Cohen III is charged with a turnover due to a foul.
731,11,Timeout,3,Official TV,Official TV timeout.
735,7,Turnover,4,Traveling,Angel Delgado with a turnover - Traveling
737,4,Field Goal Missed,40,Layup Shot,Angel Delgado blocks a Haanif Cheatham layup.
738,6,Defensive Rebound,,,Derrick Gordon with a defensive rebound.
740,8,Foul,4,Offensive,Offensive foul committed by Angel Delgado.
741,7,Turnover,,,Angel Delgado with a turnover - 
753,4,Field Goal Missed,40,Layup Shot,Henry Ellenson misses a layup.
754,6,Defensive Rebound,,,Derrick Gordon with a defensive rebound.
755,4,Field Goal Missed,45,Jump Shot,Derrick Gordon misses a jump shot from 3 feet out.
756,6,Defensive Rebound,,,Luke Fischer with a defensive rebound.
764,3,Field Goal Made,45,Jump Shot,Duane Wilson makes a jump shot from 3 feet out.
766,8,Foul,2,Shooting,Shooting foul committed by Desi Rodriguez.
767,2,Free Throw Missed,10,Free Throw 1 of 1,Duane Wilson misses free throw 1 of 1.
768,6,Defensive Rebound,,,Derrick Gordon with a defensive rebound.
775,3,Field Goal Made,40,Layup Shot,Angel Delgado makes a layup. Isaiah Whitehead with the assist.
780,4,Field Goal Missed,45,Jump Shot,Sandy Cohen III misses a 3-point jump shot from 22 feet out.
781,6,Defensive Rebound,,,Pirates with a defensive rebound.
783,3,Field Goal Made,45,Jump Shot,Derrick Gordon makes a jump shot from 5 feet out. Khadeen Carrington with the assist.
786,11,Timeout,1,Regular,Golden Eagles take a full timeout.
799,8,Foul,1,Personal,Personal foul committed by Ismael Sanogo.
804,3,Field Goal Made,45,Jump Shot,Haanif Cheatham makes a jump shot from 5 feet out.
806,4,Field Goal Missed,48,Dunk Shot,Luke Fischer blocks a Ismael Sanogo dunk.
807,5,Offensive Rebound,,,Angel Delgado with an offensive rebound.
809,8,Foul,2,Shooting,Shooting foul committed by Henry Ellenson.
810,2,Free Throw Missed,11,Free Throw 1 of 2,Angel Delgado misses free throw 1 of 2.
811,5,Offensive Rebound,,,Pirates with an offensive rebound.
812,1,Free Throw Made,12,Free Throw 2 of 2,Angel Delgado makes free throw 2 of 2.
816,7,Turnover,4,Traveling,Luke Fischer with a turnover - Traveling
818,4,Field Goal Missed,45,Jump Shot,Khadeen Carrington misses a jump shot from 9 feet out.
819,6,Defensive Rebound,,,Luke Fischer with a defensive rebound.
825,7,Turnover,2,Lost Ball,Duane Wilson with a turnover - Lost Ball
834,3,Field Goal Made,45,Jump Shot,Derrick Gordon makes a 3-point jump shot from 23 feet out. Khadeen Carrington with the assist.
836,4,Field Goal Missed,40,Layup Shot,Michael Nzei blocks a Luke Fischer layup.
837,5,Offensive Rebound,,,Golden Eagles with an offensive rebound.
838,11,Timeout,3,Official TV,Official TV timeout.
839,8,Foul,2,Shooting,Shooting foul committed by Derrick Gordon.
840,1,Free Throw Made,11,Free Throw 1 of 2,Duane Wilson makes free throw 1 of 2.
842,1,Free Throw Made,12,Free Throw 2 of 2,Duane Wilson makes free throw 2 of 2.
851,4,Field Goal Missed,45,Jump Shot,Duane Wilson blocks a Isaiah Whitehead jump shot from 4 feet out.
852,6,Defensive Rebound,,,Luke Fischer with a defensive rebound.
856,4,Field Goal Missed,45,Jump Shot,Henry Ellenson misses a jump shot from 12 feet out.
857,6,Defensive Rebound,,,Angel Delgado with a defensive rebound.
858,7,Turnover,2,Lost Ball,Duane Wilson steals the ball from Derrick Gordon.
859,7,Turnover,2,Lost Ball,Derrick Gordon steals the ball from Duane Wilson.
860,7,Turnover,2,Lost Ball,Henry Ellenson steals the ball from Isaiah Whitehead.
861,4,Field Goal Missed,45,Jump Shot,Duane Wilson misses a 3-point jump shot from 23 feet out.
862,6,Defensive Rebound,,,Khadeen Carrington with a defensive rebound.
867,4,Field Goal Missed,45,Jump Shot,Khadeen Carrington misses a jump shot from 14 feet out.
870,5,Offensive Rebound,,,Khadeen Carrington with an offensive rebound.
874,8,Foul,1,Personal,Personal foul committed by Haanif Cheatham.
877,8,Foul,2,Shooting,Shooting foul committed by Luke Fischer.
878,1,Free Throw Made,11,Free Throw 1 of 2,Angel Delgado makes free throw 1 of 2.
879,1,Free Throw Made,12,Free Throw 2 of 2,Angel Delgado makes free throw 2 of 2.
884,8,Foul,4,Offensive,Offensive foul committed by Henry Ellenson.
885,7,Turnover,,,Henry Ellenson with a turnover - 
892,3,Field Goal Made,48,Dunk Shot,Ismael Sanogo dunks. Isaiah Whitehead with the assist.
902,11,Timeout,1,Regular,Golden Eagles take a full timeout.
909,4,Field Goal Missed,45,Jump Shot,Traci Carter misses a jump shot from 16 feet out.
910,6,Defensive Rebound,,,Khadeen Carrington with a defensive rebound.
914,8,Foul,2,Shooting,Shooting foul committed by Traci Carter.
916,1,Free Throw Made,11,Free Throw 1 of 2,Khadeen Carrington makes free throw 1 of 2.
917,1,Free Throw Made,12,Free Throw 2 of 2,Khadeen Carrington makes free throw 2 of 2.
919,8,Foul,2,Shooting,Shooting foul committed by Ismael Sanogo.
920,2,Free Throw Missed,8,Free Throw 1st of 1-and-1,JaJuan Johnson misses free throw 1st of 1-and-1.
921,6,Defensive Rebound,,,Angel Delgado with a defensive rebound.
933,3,Field Goal Made,40,Layup Shot,Ismael Sanogo makes a layup. Isaiah Whitehead with the assist.
934,7,Turnover,2,Lost Ball,Khadeen Carrington steals the ball from Traci Carter.
937,8,Foul,2,Shooting,Shooting foul committed by Traci Carter.
938,11,Timeout,3,Official TV,Official TV timeout.
939,1,Free Throw Made,11,Free Throw 1 of 2,Isaiah Whitehead makes free throw 1 of 2.
940,1,Free Throw Made,12,Free Throw 2 of 2,Isaiah Whitehead makes free throw 2 of 2.
949,3,Field Goal Made,45,Jump Shot,Henry Ellenson makes a 3-point jump shot from 24 feet out. Haanif Cheatham with the assist.
952,3,Field Goal Made,40,Layup Shot,Angel Delgado makes a layup. Khadeen Carrington with the assist.
953,7,Turnover,2,Lost Ball,Derrick Gordon steals the ball from Sandy Cohen III.
954,3,Field Goal Made,40,Layup Shot,Isaiah Whitehead makes a layup. Angel Delgado with the assist.
959,8,Foul,2,Shooting,Shooting foul committed by Ismael Sanogo.
960,1,Free Throw Made,13,Free Throw 1 of 3,Henry Ellenson makes free throw 1 of 3.
961,1,Free Throw Made,14,Free Throw 2 of 3,Henry Ellenson makes free throw 2 of 3.
962,1,Free Throw Made,15,Free Throw 3 of 3,Henry Ellenson makes free throw 3 of 3.
969,8,Foul,4,Offensive,Offensive foul committed by Khadeen Carrington.
970,7,Turnover,,,Khadeen Carrington with a turnover - 
972,7,Turnover,2,Lost Ball,Khadeen Carrington steals the ball from Henry Ellenson.
973,3,Field Goal Made,48,Dunk Shot,Khadeen Carrington dunks.
974,4,Field Goal Missed,45,Jump Shot,Haanif Cheatham misses a jump shot from 4 feet out.
975,6,Defensive Rebound,,,Angel Delgado with a defensive rebound.
981,4,Field Goal Missed,45,Jump Shot,Isaiah Whitehead misses a jump shot from 5 feet out.
982,6,Defensive Rebound,,,Wally Ellenson with a defensive rebound.
983,8,Foul,2,Shooting,Shooting foul committed by Isaiah Whitehead.
984,1,Free Throw Made,11,Free Throw 1 of 2,Wally Ellenson makes free throw 1 of 2.
987,2,Free Throw Missed,12,Free Throw 2 of 2,Wally Ellenson misses free throw 2 of 2.
988,6,Defensive Rebound,,,Desi Rodriguez with a defensive rebound.
1007,3,Field Goal Made,45,Jump Shot,Khadeen Carrington makes a jump shot from 17 feet out.
1008,4,Field Goal Missed,40,Layup Shot,Haanif Cheatham misses a layup.
1009,5,Offensive Rebound,,,Luke Fischer with an offensive rebound.
1011,3,Field Goal Made,53,Tip Shot,Luke Fischer makes a tip shot from 1 foot out.
1015,8,Foul,2,Shooting,Shooting foul committed by Wally Ellenson.
1016,1,Free Throw Made,11,Free Throw 1 of 2,Khadeen Carrington makes free throw 1 of 2.
1017,1,Free Throw Made,12,Free Throw 2 of 2,Khadeen Carrington makes free throw 2 of 2.
1019,4,Field Goal Missed,45,Jump Shot,Haanif Cheatham misses a 3-point jump shot from 25 feet out.
1020,6,Defensive Rebound,,,Veer Singh with a defensive rebound.
1028,15,End Period,,,End of the 2nd Half
1029,19,Game Over,,,End of the Game
